"distinguish","telic"
"blended","telic"
"iced","telic"
"debarred","telic"
"inspire","telic"
"ruin","telic"
"reflect","atelic"
"freed","telic"
"jibes","atelic"
"gulping","atelic"
"Cradling","atelic"
"invited","telic"
"scanned","telic"
"simplifying","telic"
"slant","atelic"
"disrupt","telic"
"originated","telic"
"banked","telic"
"laboring","atelic"
"presenting","telic"
"crumbled","telic"
"daydream","atelic"
"restrain","telic"
"bested","telic"
"categorized","telic"
"looping","atelic"
"divulged","telic"
"made","telic"
"bang","telic"
"baby-sitting","atelic"
"Wearied","telic"
"extort","telic"
"REEVALUATE","telic"
"impart","telic"
"entitles","telic"
"celebrate","atelic"
"honouring","telic"
"rebuke","telic"
"conceived","telic"
"sheltered","atelic"
"nominated","telic"
"invaded","telic"
"surprised","telic"
"executed","telic"
"gliding","atelic"
"vomited","telic"
"budge","telic"
"outlining","telic"
"infer","telic"
"firing","atelic"
"annoying","atelic"
"capsized","telic"
"invested","telic"
"transformed","telic"
"salvaged","telic"
"conversing","atelic"
"messed","telic"
"prospered","atelic"
"scar","telic"
"elongated","atelic"
"looked","telic"
"befallen","telic"
"negate","telic"
"brandished","telic"
"crash","telic"
"cured","telic"
"eliminating","telic"
"slaking","atelic"
"fended","telic"
"repealed","telic"
"concurred","telic"
"staking","telic"
"spilled","telic"
"master","telic"
"stick","telic"
"imperil","telic"
"flooded","telic"
"hungered","atelic"
"wrangle","atelic"
"outfit","telic"
"repine","atelic"
"gyrating","atelic"
"deleted","telic"
"twinkle","telic"
"devolved","telic"
"approximate","telic"
"advised","telic"
"miscarry","telic"
"appeal","telic"
"wields","atelic"
"circumventing","telic"
"bake","telic"
"rummaged","atelic"
"redouble","telic"
"darkened","telic"
"glanced","telic"
"opened","telic"
"convulsing","atelic"
"craning","telic"
"fished","atelic"
"badger","atelic"
"expelled","telic"
"scurried","telic"
"bothering","telic"
"deputising","atelic"
"dubbed","telic"
"overstepped","telic"
"moderate","telic"
"curtailed","telic"
"beseeched","atelic"
"witness","telic"
"fulfil","telic"
"screamed","telic"
"retched","telic"
"complicated","telic"
"swamp","telic"
"deferred","telic"
"consigned","telic"
"pestering","atelic"
"familiarizes","atelic"
"bare","telic"
"inspected","telic"
"knocked","telic"
"curbed","telic"
"professed","atelic"
"relented","telic"
"consummated","telic"
"disposed","telic"
"wolfed","telic"
"repeated","telic"
"trod","atelic"
"shower","telic"
"examined","telic"
"covered","telic"
"devoting","telic"
"boosted","telic"
"trampled","atelic"
"severing","telic"
"orbits","atelic"
"dangled","atelic"
"fortify","telic"
"fretting","atelic"
"abandoned","telic"
"lodged","atelic"
"waken","telic"
"acquit","telic"
"sputtered","atelic"
"emboss","telic"
"invented","telic"
"fantasize","atelic"
"misfired","telic"
"glowing","atelic"
"overruled","telic"
"projected","telic"
"patching","telic"
"informed","telic"
"outdone","telic"
"progressed","atelic"
"people","atelic"
"evolve","atelic"
"compounded","telic"
"positioned","telic"
"enveloping","telic"
"stabbed","telic"
"rankled","atelic"
"committed","telic"
"faded","atelic"
"inverting","telic"
"augment","telic"
"balled","telic"
"reassure","telic"
"Treated","telic"
"smiled","telic"
"attempted","telic"
"signalled","telic"
"arraigning","telic"
"whooped","telic"
"noticing","telic"
"trailed","atelic"
"stamp","telic"
"apprehended","telic"
"accumulated","telic"
"refrigerated","telic"
"melted","telic"
"accelerated","telic"
"withheld","telic"
"evicted","telic"
"streaming","atelic"
"cajoled","telic"
"collaborated","atelic"
"forgot","telic"
"disseminate","telic"
"nourish","atelic"
"forwarded","telic"
"waste","telic"
"maltreated","atelic"
"ransom","telic"
"creaking","telic"
"mimic","atelic"
"relax","atelic"
"uncoiled","telic"
"appended","telic"
"filled","telic"
"title","telic"
"abetted","telic"
"use","atelic"
"crackled","telic"
"terrorizing","atelic"
"struck","telic"
"convening","telic"
"parcel","telic"
"preening","atelic"
"rebuffing","telic"
"occasioned","telic"
"mapped","telic"
"occurred","telic"
"vault","telic"
"loan","telic"
"chopped","telic"
"skinned","telic"
"RELOCATE","telic"
"impeded","telic"
"obviated","telic"
"cursing","telic"
"clubbing","telic"
"singed","telic"
"engulf","telic"
"conjoined","telic"
"parley","telic"
"hugging","telic"
"TRY","telic"
"loaded","telic"
"corroborated","telic"
"preempt","telic"
"coughing","telic"
"fed","telic"
"returned","telic"
"skimmed","telic"
"fudge","telic"
"enrol","telic"
"exhausted","telic"
"heralded","telic"
"sensed","telic"
"talking","atelic"
"menaced","telic"
"pitch","telic"
"subdued","telic"
"trotted","atelic"
"disheartened","telic"
"sort","telic"
"notify","telic"
"strip","telic"
"converted","telic"
"osculating","atelic"
"paralysed","telic"
"succour","atelic"
"strapped","telic"
"shielded","atelic"
"balancing","atelic"
"testing","atelic"
"imbibes","telic"
"insinuated","telic"
"soften","atelic"
"torch","telic"
"chuck","telic"
"relayed","telic"
"bent","telic"
"debunked","telic"
"grant","telic"
"likened","telic"
"credit","telic"
"blame","telic"
"triggered","telic"
"dwarf","telic"
"skips","telic"
"surrounded","telic"
"marred","telic"
"delivered","telic"
"reply","telic"
"disassociating","telic"
"attitudinizing","atelic"
"overmastered","telic"
"illustrated","telic"
"inherited","telic"
"drowned","telic"
"tape","telic"
"strayed","telic"
"filming","atelic"
"journeyed","atelic"
"crept","telic"
"distracted","telic"
"constructed","telic"
"confiscated","telic"
"lengthened","telic"
"mending","telic"
"schedule","telic"
"vanished","telic"
"explained","telic"
"bite","telic"
"gauge","telic"
"applauded","atelic"
"mention","telic"
"hooked","telic"
"rotating","telic"
"altered","telic"
"relishing","atelic"
"skidded","telic"
"find","telic"
"protested","telic"
"pressured","atelic"
"evaluate","telic"
"subject","telic"
"squeezed","telic"
"feast","atelic"
"tailored","telic"
"heaved","telic"
"monitoring","atelic"
"back","telic"
"assimilates","telic"
"thrilled","telic"
"stalking","atelic"
"printing","atelic"
"impairs","telic"
"locked","telic"
"took","telic"
"trickle","atelic"
"combine","telic"
"baiting","telic"
"manned","telic"
"writhing","atelic"
"missing","telic"
"trained","atelic"
"deflect","telic"
"brewing","telic"
"dogged","telic"
"numbed","telic"
"tussling","atelic"
"chuckled","telic"
"ignored","telic"
"interpreted","telic"
"cleanse","telic"
"ferry","telic"
"astounds","telic"
"dried","telic"
"accompanied","atelic"
"pound","atelic"
"serve","telic"
"hosting","atelic"
"appeased","telic"
"lugged","telic"
"shocked","telic"
"blasted","telic"
"revenge","telic"
"tramped","atelic"
"comparing","telic"
"propagated","atelic"
"water","telic"
"passed","telic"
"competing","atelic"
"postulate","telic"
"rally","telic"
"dipped","telic"
"affix","telic"
"appreciated","telic"
"shepherding","atelic"
"beat","telic"
"squashed","telic"
"dilate","telic"
"grumbled","telic"
"chafe","atelic"
"muttered","telic"
"answer","telic"
"replace","telic"
"fettered","telic"
"chatting","atelic"
"crumple","telic"
"eluded","telic"
"mint","telic"
"pointed","telic"
"stimulating","atelic"
"borrow","telic"
"paralyzed","telic"
"tailing","atelic"
"striding","atelic"
"classified","telic"
"stage","telic"
"dampened","telic"
"die","telic"
"grasped","telic"
"desert","telic"
"tacked","telic"
"crack","telic"
"quartered","telic"
"socked","telic"
"Clear","telic"
"mumbled","telic"
"repel","telic"
"foster","atelic"
"redressing","telic"
"marched","atelic"
"uphold","telic"
"resounded","telic"
"Straighten","telic"
"envisioned","telic"
"shoplifting","telic"
"restoring","telic"
"ravages","atelic"
"entertain","atelic"
"bequeathed","telic"
"trim","telic"
"edified","telic"
"advanced","atelic"
"interrupted","telic"
"showcase","telic"
"harmonize","atelic"
"venture","telic"
"co-operate","atelic"
"squared","telic"
"stacked","telic"
"commuted","atelic"
"emulate","atelic"
"Zooming","telic"
"grass","telic"
"impelled","telic"
"commiserating","atelic"
"obtained","telic"
"hurried","telic"
"repulsed","telic"
"backtrack","telic"
"considered","telic"
"swivels","telic"
"brag","atelic"
"listened","atelic"
"besieging","telic"
"pulverised","telic"
"tripping","atelic"
"parked","telic"
"recapitulates","telic"
"tweaked","telic"
"discern","telic"
"penetrate","telic"
"pausing","telic"
"superseded","telic"
"intoxicated","telic"
"impinge","telic"
"ejaculated","telic"
"straighten","telic"
"interfere","telic"
"misuse","atelic"
"savouring","atelic"
"thriving","atelic"
"sprouting","telic"
"clinked","telic"
"jump","telic"
"account","telic"
"spark","telic"
"summarize","telic"
"clip","telic"
"flattened","telic"
"eased","telic"
"dig","atelic"
"righted","telic"
"forebode","telic"
"shivered","telic"
"overrun","telic"
"solidified","telic"
"swopped","telic"
"overridden","telic"
"perpetrated","telic"
"experience","telic"
"cultivated","atelic"
"earned","atelic"
"happened","telic"
"opined","telic"
"blooming","atelic"
"spare","telic"
"exhorted","telic"
"soaking","telic"
"distorting","telic"
"prescribed","telic"
"eclipsed","telic"
"promised","telic"
"requested","telic"
"ambushed","telic"
"bereft","telic"
"built","telic"
"record","telic"
"met","telic"
"encountered","telic"
"underscore","telic"
"frighten","telic"
"ruminated","atelic"
"hit","telic"
"infesting","telic"
"billing","atelic"
"depicted","telic"
"parted","telic"
"dispatch","telic"
"fetch","telic"
"ambling","telic"
"bind","telic"
"assembled","telic"
"Set","telic"
"mimed","atelic"
"soared","telic"
"allayed","telic"
"replicated","telic"
"cleaned","telic"
"told","telic"
"roused","telic"
"baptized","telic"
"travelled","atelic"
"overpowered","telic"
"congratulated","telic"
"process","telic"
"further","atelic"
"outrun","telic"
"attest","telic"
"charted","telic"
"secreting","telic"
"enter","telic"
"divorced","telic"
"alight","telic"
"flaunted","atelic"
"panting","atelic"
"prodded","telic"
"quiz","telic"
"paging","atelic"
"started","telic"
"shouted","telic"
"consult","telic"
"glared","atelic"
"quit","telic"
"disclosed","telic"
"perished","telic"
"measured","telic"
"chant","atelic"
"baptised","telic"
"distended","telic"
"detonate","telic"
"harvested","telic"
"ravish","telic"
"undervalued","telic"
"banished","telic"
"formulate","telic"
"quieten","telic"
"documented","telic"
"re-evaluate","telic"
"dissemble","atelic"
"weighted","telic"
"compiled","telic"
"escaped","telic"
"Run","telic"
"founded","telic"
"murmured","telic"
"adapting","telic"
"chase","telic"
"desist","telic"
"regulated","atelic"
"Rebounding","telic"
"shovelled","atelic"
"attached","telic"
"purchased","telic"
"evoked","telic"
"trundled","atelic"
"battered","atelic"
"chaining","telic"
"forestall","telic"
"lapsed","telic"
"smarted","atelic"
"unify","telic"
"pained","atelic"
"finance","telic"
"shot","telic"
"secured","telic"
"assume","telic"
"dazzling","atelic"
"managed","telic"
"brushed","telic"
"unlock","telic"
"hounded","atelic"
"tore","telic"
"intimates","telic"
"received","telic"
"tumbled","telic"
"participate","atelic"
"enlisted","telic"
"mesmerized","telic"
"endorsed","telic"
"waved","atelic"
"provided","telic"
"survived","telic"
"vacate","telic"
"pluck","telic"
"excused","telic"
"impute","telic"
"stashed","telic"
"fumed","atelic"
"realise","telic"
"ward","telic"
"attain","telic"
"propped","telic"
"reheat","telic"
"bypass","telic"
"bellowed","telic"
"redounding","telic"
"warn","telic"
"wheezed","atelic"
"enhanced","telic"
"interpose","telic"
"intermingle","telic"
"tired","telic"
"inciting","telic"
"prosecuting","telic"
"tilted","telic"
"entrusted","telic"
"allocated","telic"
"exulting","atelic"
"promote","telic"
"teeming","atelic"
"attended","telic"
"fuss","atelic"
"swimming","atelic"
"initiated","telic"
"realized","telic"
"consolidated","telic"
"aligned","telic"
"washed","telic"
"dodged","telic"
"harassing","atelic"
"growling","atelic"
"unbent","telic"
"fused","telic"
"trap","telic"
"smashed","telic"
"shoved","telic"
"convicted","telic"
"watched","atelic"
"fashion","telic"
"vilify","telic"
"polished","telic"
"squabbled","atelic"
"scotch","telic"
"thieving","atelic"
"steadied","telic"
"incurred","telic"
"Validating","telic"
"deprive","telic"
"ting","telic"
"recoil","telic"
"combusting","telic"
"stared","atelic"
"put","telic"
"hitched","telic"
"developed","atelic"
"inhibited","telic"
"starve","telic"
"warmed","telic"
"consumed","telic"
"reversed","telic"
"juxtaposing","telic"
"funded","telic"
"stipulated","telic"
"wagered","telic"
"muddled","telic"
"shelved","telic"
"clap","telic"
"shadowing","atelic"
"lash","telic"
"distribute","telic"
"climbed","telic"
"radiated","atelic"
"muffled","atelic"
"tortured","atelic"
"twitched","atelic"
"attack","telic"
"encroaches","atelic"
"slithered","telic"
"struggled","atelic"
"congealed","telic"
"voted","telic"
"smite","telic"
"Destroy","telic"
"moaning","telic"
"testify","telic"
"epitomized","telic"
"whispered","telic"
"aroused","telic"
"collapses","telic"
"scowling","atelic"
"retracted","telic"
"commingled","telic"
"spurred","telic"
"implored","atelic"
"sharing","atelic"
"eloping","telic"
"toting","atelic"
"aiding","atelic"
"extradite","telic"
"outgrew","telic"
"shamming","atelic"
"acquired","telic"
"accommodating","atelic"
"reasoning","atelic"
"complementing","atelic"
"dissuade","telic"
"unbolted","telic"
"Dwindling","atelic"
"rehabilitate","telic"
"composing","telic"
"poisoning","telic"
"transposed","telic"
"waver","atelic"
"traverse","telic"
"USE","atelic"
"manifested","atelic"
"facilitates","telic"
"graced","telic"
"hurtling","atelic"
"dictates","atelic"
"ringing","telic"
"enraged","telic"
"quarried","telic"
"annihilated","telic"
"endowed","telic"
"touring","atelic"
"dissipate","telic"
"ask","telic"
"undertook","telic"
"acquiesce","telic"
"swollen","telic"
"Read","telic"
"untying","telic"
"refined","telic"
"nail","telic"
"activating","telic"
"elucidated","telic"
"sheds","telic"
"elapsed","telic"
"specify","telic"
"shipped","telic"
"summon","telic"
"persuade","telic"
"dumped","telic"
"impersonating","atelic"
"exit","telic"
"dispelled","telic"
"remind","telic"
"administered","atelic"
"yelled","telic"
"slowed","atelic"
"distilled","atelic"
"hardened","telic"
"maintained","atelic"
"flicked","telic"
"mounted","telic"
"touches","telic"
"broadened","atelic"
"flashing","atelic"
"shaken","telic"
"aiming","atelic"
"outweighs","telic"
"spotted","telic"
"called","telic"
"retarded","telic"
"Calm","telic"
"vacillated","atelic"
"slipping","telic"
"empower","telic"
"Snitching","telic"
"reaped","telic"
"supervising","atelic"
"grade","telic"
"dislocate","telic"
"erected","telic"
"savor","atelic"
"endeavored","telic"
"recounting","atelic"
"comprehend","atelic"
"honored","telic"
"refill","telic"
"precipitated","telic"
"capered","telic"
"robbed","telic"
"transported","telic"
"slumber","atelic"
"undermined","telic"
"prevaricate","telic"
"meditated","atelic"
"transplant","telic"
"whistling","telic"
"cited","telic"
"deposit","telic"
"despatched","telic"
"submerged","telic"
"accusing","telic"
"bargained","atelic"
"confounded","telic"
"indemnify","telic"
"echoed","atelic"
"screened","telic"
"anchor","telic"
"yielded","telic"
"circumscribed","telic"
"construed","telic"
"rendered","telic"
"recommend","telic"
"defeated","telic"
"defined","telic"
"articulate","telic"
"blurt","telic"
"ails","telic"
"aired","telic"
"encourage","telic"
"demanded","telic"
"spoke","telic"
"collect","telic"
"suppressed","telic"
"foretell","telic"
"reeled","telic"
"earmark","telic"
"err","telic"
"amazed","telic"
"attributed","telic"
"embellish","atelic"
"exalted","telic"
"resorting","telic"
"adhered","atelic"
"accentuating","atelic"
"boiled","atelic"
"espousing","atelic"
"recollected","telic"
"revolve","telic"
"stitched","telic"
"dunked","telic"
"converged","atelic"
"grunted","telic"
"scorch","telic"
"kicks","telic"
"swiped","telic"
"jabbed","telic"
"handled","telic"
"shifted","telic"
"predicted","telic"
"danced","atelic"
"rile","telic"
"tossed","telic"
"suffocating","telic"
"pivoted","atelic"
"officiated","atelic"
"sprained","telic"
"incriminate","telic"
"quivered","atelic"
"triumphed","atelic"
"inconvenienced","telic"
"blossomed","atelic"
"reared","telic"
"rammed","telic"
"upgraded","telic"
"pooled","telic"
"shortened","telic"
"added","telic"
"urged","telic"
"refute","telic"
"finished","telic"
"retreated","telic"
"overtook","telic"
"scoot","telic"
"graduated","telic"
"exchanging","telic"
"behave","atelic"
"label","telic"
"retired","telic"
"punish","telic"
"liquidated","telic"
"irked","telic"
"guess","telic"
"consented","telic"
"cramming","atelic"
"vowed","telic"
"pledged","telic"
"nearing","telic"
"unloosed","telic"
"transfigured","telic"
"ageing","atelic"
"slack","telic"
"rid","telic"
"efface","telic"
"hesitated","atelic"
"praise","atelic"
"ache","atelic"
"embroidered","telic"
"Maneuver","atelic"
"shade","telic"
"navigate","atelic"
"ejecting","telic"
"careened","telic"
"slain","telic"
"careering","atelic"
"slinking","telic"
"scooped","telic"
"lease","telic"
"stowed","telic"
"accomplished","telic"
"re-echoed","telic"
"contradict","telic"
"disown","telic"
"ridden","atelic"
"retold","telic"
"tallied","telic"
"coalesced","telic"
"flung","telic"
"unclosed","telic"
"evidenced","telic"
"posed","telic"
"mislaid","telic"
"exhaled","telic"
"nag","atelic"
"duck","telic"
"toppled","telic"
"rap","telic"
"charter","telic"
"slept","atelic"
"mitigate","telic"
"spin","atelic"
"nullified","telic"
"dislodged","telic"
"act","atelic"
"kindled","telic"
"institute","telic"
"scoring","telic"
"educated","telic"
"collided","telic"
"dissect","telic"
"brave","telic"
"detaining","atelic"
"chosen","telic"
"liberate","telic"
"wiggle","atelic"
"seduced","telic"
"fulminate","telic"
"registered","telic"
"poured","telic"
"unleashed","telic"
"exploit","atelic"
"enunciated","telic"
"jerked","telic"
"posting","telic"
"exploded","telic"
"pronounce","telic"
"culminating","telic"
"silenced","telic"
"decelerated","atelic"
"modified","telic"
"weave","telic"
"ripped","telic"
"vying","atelic"
"tolling","atelic"
"amends","telic"
"utilising","atelic"
"shelled","telic"
"slackened","telic"
"deliberating","atelic"
"reinforcing","telic"
"learned","telic"
"blush","telic"
"prevented","atelic"
"hasten","telic"
"scouring","atelic"
"sprinted","atelic"
"undo","telic"
"illuminated","atelic"
"remedied","telic"
"nabbed","telic"
"decorated","telic"
"scuffle","telic"
"stunned","telic"
"slammed","telic"
"ratified","telic"
"slapped","telic"
"judged","telic"
"closed","telic"
"scampering","atelic"
"ended","telic"
"gathered","telic"
"sprang","telic"
"refuse","telic"
"rebutting","telic"
"trounced","telic"
"identify","telic"
"enthralled","telic"
"shredded","telic"
"swore","telic"
"emerged","telic"
"betrayed","telic"
"leave","telic"
"swing","telic"
"purified","telic"
"erupted","telic"
"instructed","telic"
"pilfering","telic"
"pasting","telic"
"cede","telic"
"narrated","atelic"
"stop","telic"
"embraced","telic"
"declined","telic"
"loosed","telic"
"sweep","atelic"
"expiate","telic"
"vouch","telic"
"purloined","telic"
"enumerate","atelic"
"toiling","atelic"
"overborne","telic"
"surrendered","telic"
"accede","telic"
"descended","telic"
"farmed","atelic"
"entangled","telic"
"released","telic"
"signify","telic"
"quoted","telic"
"communicating","atelic"
"manipulated","atelic"
"insisted","atelic"
"overestimating","atelic"
"vexed","telic"
"blaze","telic"
"buckled","telic"
"concocting","telic"
"enjoy","atelic"
"speeded","telic"
"cauterized","telic"
"tracking","atelic"
"commenced","telic"
"emboldened","telic"
"cramped","telic"
"interacted","atelic"
"updated","telic"
"masked","telic"
"transcends","telic"
"devour","telic"
"upending","telic"
"externalize","telic"
"discover","telic"
"punching","telic"
"captured","telic"
"compressing","telic"
"rushed","telic"
"admitted","telic"
"spewed","telic"
"spend","telic"
"manufacture","atelic"
"ingesting","telic"
"agonize","atelic"
"nicked","telic"
"enhearten","telic"
"reminisced","atelic"
"forsaken","telic"
"arranged","telic"
"subordinate","telic"
"spelt","telic"
"purging","telic"
"mated","telic"
"pricked","telic"
"erased","telic"
"evaded","telic"
"trade","telic"
"patrolled","atelic"
"departed","telic"
"commented","telic"
"unrolled","telic"
"galvanized","telic"
"excel","atelic"
"chastised","telic"
"discontinued","telic"
"rewarded","telic"
"abducted","telic"
"voiced","telic"
"unwinding","telic"
"endanger","atelic"
"scattered","telic"
"insured","telic"
"zipped","telic"
"valued","telic"
"deputized","atelic"
"thrust","telic"
"verify","telic"
"bawled","telic"
"propelled","telic"
"commanded","atelic"
"endeavoured","telic"
"defused","telic"
"bestowed","telic"
"wriggled","atelic"
"swallowed","telic"
"escorted","atelic"
"slashed","telic"
"rules","atelic"
"allotted","telic"
"working","atelic"
"excite","telic"
"floating","atelic"
"steered","atelic"
"nonplussed","telic"
"ascribe","telic"
"disagree","telic"
"ebbing","telic"
"broadcasting","telic"
"wince","telic"
"detect","telic"
"bashing","atelic"
"enshrouded","telic"
"employed","telic"
"stung","telic"
"nettled","atelic"
"cultured","atelic"
"espied","telic"
"annexed","telic"
"mashed","telic"
"faking","telic"
"coerce","telic"
"rounded","telic"
"tingling","atelic"
"undergone","telic"
"condemned","telic"
"billeted","telic"
"shrouded","telic"
"fingered","telic"
"exaggerating","atelic"
"overlooked","telic"
"violate","telic"
"demolished","telic"
"arise","telic"
"empathize","atelic"
"steeped","telic"
"outlive","telic"
"re-established","telic"
"seized","telic"
"perfected","telic"
"inaugurating","telic"
"insulted","telic"
"soliciting","atelic"
"falsified","telic"
"agreed","telic"
"misplaced","telic"
"lose","telic"
"typeset","telic"
"repaid","telic"
"perambulating","atelic"
"abstracted","telic"
"commended","telic"
"stilled","telic"
"blubbering","atelic"
"patronize","atelic"
"thumped","telic"
"reestablish","telic"
"revoke","telic"
"caressing","atelic"
"stifled","telic"
"fell","telic"
"equalize","telic"
"swarming","atelic"
"canvassing","atelic"
"detaches","telic"
"prolong","telic"
